length,num_chars,num_digits,num_upper,num_lower,num_special,num_vowels,class
6,0,6,0,0,0,0,Dangerous
8,8,0,0,8,0,2,Weak
8,0,8,0,0,0,0,Weak
6,6,0,0,6,0,1,Dangerous
9,0,9,0,0,0,0,Weak
5,0,5,0,0,0,0,Dangerous
4,0,4,0,0,0,0,Dangerous
6,0,6,0,0,0,0,Dangerous
7,0,7,0,0,0,0,Dangerous
6,6,0,0,6,0,2,Dangerous
6,0,6,0,0,0,0,Dangerous
13,13,0,0,13,0,3,Weak
6,3,3,0,3,0,1,Dangerous
8,8,0,0,8,0,3,Weak
6,6,0,0,6,0,2,Dangerous
7,7,0,0,7,0,3,Weak
6,0,6,0,0,0,0,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
6,0,6,0,0,0,0,Dangerous
10,10,0,0,10,0,4,Weak
6,0,6,0,0,0,0,Dangerous
7,7,0,0,7,0,2,Weak
10,0,10,0,0,0,0,Weak
7,7,0,0,7,0,3,Weak
6,0,6,0,0,0,0,Dangerous
5,5,0,0,5,0,1,Dangerous
8,8,0,0,8,0,3,Weak
8,6,2,0,6,0,1,Weak
7,0,7,0,0,0,0,Dangerous
6,6,0,0,6,0,2,Dangerous
6,0,6,0,0,0,0,Dangerous
1,0,1,0,0,0,0,Dangerous
6,6,0,0,6,0,1,Dangerous
6,3,3,0,3,0,1,Dangerous
6,6,0,0,6,0,2,Dangerous
8,7,1,0,7,0,2,Weak
6,6,0,0,6,0,2,Dangerous
8,8,0,0,8,0,3,Weak
7,7,0,0,7,0,0,Weak
6,6,0,0,6,0,1,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
8,8,0,0,8,0,3,Weak
8,8,0,0,8,0,5,Weak
6,6,0,0,6,0,2,Dangerous
4,0,4,0,0,0,0,Dangerous
7,7,0,0,7,0,3,Weak
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,3,Dangerous
8,8,0,0,8,0,2,Weak
7,7,0,0,7,0,2,Weak
6,0,6,0,0,0,0,Dangerous
6,6,0,0,6,0,3,Dangerous
7,7,0,0,7,0,3,Weak
8,8,0,0,8,0,3,Weak
8,8,0,0,8,0,3,Weak
7,7,0,0,7,0,3,Weak
6,6,0,0,6,0,2,Dangerous
4,4,0,0,4,0,2,Dangerous
6,6,0,0,6,0,0,Dangerous
6,0,6,0,0,0,0,Dangerous
8,0,8,0,0,0,0,Weak
6,0,6,0,0,0,0,Dangerous
7,7,0,0,7,0,3,Weak
6,0,6,0,0,0,0,Dangerous
4,4,0,0,4,0,1,Dangerous
4,4,0,0,4,0,1,Dangerous
6,6,0,0,6,0,3,Dangerous
6,0,6,0,0,0,0,Dangerous
6,6,0,0,6,0,6,Dangerous
6,6,0,0,6,0,2,Dangerous
8,8,0,0,8,0,2,Weak
6,6,0,0,6,0,3,Dangerous
6,6,0,0,6,0,3,Dangerous
6,6,0,0,6,0,3,Dangerous
6,6,0,0,6,0,2,Dangerous
4,4,0,0,4,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
4,0,4,0,0,0,0,Dangerous
6,6,0,0,6,0,3,Dangerous
7,7,0,0,7,0,3,Dangerous
6,6,0,0,6,0,3,Dangerous
7,7,0,0,7,0,2,Weak
6,6,0,0,6,0,2,Dangerous
7,7,0,0,7,0,3,Weak
9,0,9,0,0,0,0,Weak
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,3,Dangerous
7,7,0,0,7,0,2,Weak
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
7,7,0,0,7,0,3,Dangerous
8,8,0,0,8,0,3,Weak
5,5,0,0,5,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
7,7,0,0,7,0,3,Weak
6,6,0,0,6,0,2,Dangerous
7,7,0,2,5,0,3,Weak
6,6,0,0,6,0,2,Dangerous
7,7,0,0,7,0,3,Weak
8,4,4,0,4,0,1,Weak
6,6,0,0,6,0,0,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,2,Dangerous
6,0,6,0,0,0,0,Dangerous
8,0,8,0,0,0,0,Weak
7,7,0,0,7,0,2,Weak
6,6,0,0,6,0,2,Dangerous
4,4,0,0,4,0,1,Dangerous
6,6,0,0,6,0,3,Dangerous
10,5,5,0,5,0,1,Weak
7,7,0,0,7,0,2,Weak
8,8,0,0,8,0,3,Weak
7,7,0,0,7,0,3,Weak
6,6,0,0,6,0,3,Dangerous
5,0,5,0,0,0,0,Dangerous
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,4,Dangerous
7,7,0,0,7,0,2,Weak
8,8,0,0,8,0,3,Weak
6,6,0,0,6,0,2,Dangerous
6,6,0,0,6,0,3,Dangerous
7,7,0,0,7,0,2,Dangerous
8,8,0,0,8,0,3,Weak
6,6,0,0,6,0,2,Dangerous
7,7,0,0,7,0,2,Weak
6,6,0,0,6,0,1,Dangerous
