numbers,lower,upper,symbols,class
4,4,0,1,Good
4,4,0,1,Good
2,7,1,0,Good
3,5,5,0,Good
1,10,2,0,Good
2,5,9,0,Strong
2,6,0,0,Weak
7,1,0,0,Weak
4,8,0,0,Weak
6,2,2,1,Strong
2,6,0,0,Weak
9,3,4,0,Strong
3,7,0,0,Weak
3,3,10,0,Strong
3,9,0,0,Weak
9,1,0,0,Weak
8,3,0,0,Weak
3,5,0,0,Weak
7,2,0,0,Weak
6,3,0,0,Weak
2,15,0,2,Strong
1,5,0,0,Dangerous
1,13,1,1,Strong
3,27,0,0,Good
2,9,1,0,Good
3,14,0,0,Weak
10,1,10,0,Strong
2,13,0,0,Weak
1,22,0,0,Good
8,7,0,0,Weak
1,8,4,0,Good
1,10,0,2,Strong
3,8,0,1,Strong
2,5,0,1,Good
3,6,1,0,Good
1,6,0,0,Dangerous
4,6,1,0,Good
3,5,1,0,Good
1,7,1,0,Good
2,6,0,0,Weak
3,6,0,0,Weak
1,10,5,0,Strong
1,8,0,0,Weak
3,5,0,0,Weak
0,5,0,1,Dangerous
1,8,0,0,Weak
7,1,0,0,Weak
4,3,8,0,Good
3,5,0,0,Weak
2,6,0,0,Weak
0,5,0,1,Dangerous
1,10,0,0,Weak
2,6,0,0,Weak
4,5,0,0,Weak
4,4,0,0,Weak
3,7,0,0,Weak
2,8,0,0,Weak
4,5,7,0,Strong
4,2,0,0,Dangerous
2,8,0,0,Weak
8,7,1,5,Strong
2,5,0,0,Dangerous
2,7,0,0,Weak
1,6,0,0,Dangerous
2,5,0,0,Dangerous
1,11,1,1,Strong
2,6,0,0,Weak
2,8,0,0,Weak
1,7,1,0,Good
2,4,0,0,Dangerous
2,7,2,0,Good
1,9,4,0,Good
2,7,4,0,Good
2,10,0,0,Weak
3,7,0,0,Weak
3,8,5,0,Strong
6,3,0,0,Weak
1,7,0,0,Weak
1,6,0,0,Dangerous
4,6,0,0,Weak
2,4,0,0,Dangerous
5,1,0,0,Dangerous
10,0,0,1,Weak
1,7,0,2,Good
3,7,1,1,Strong
2,11,5,1,Strong
9,1,1,0,Good
5,7,2,0,Good
2,4,0,0,Dangerous
6,2,4,0,Good
1,11,2,0,Good
6,4,2,0,Good
3,9,4,0,Strong
6,6,3,0,Good
4,8,3,0,Good
4,5,1,0,Good
1,6,0,0,Dangerous
5,3,0,0,Weak
2,5,0,0,Dangerous
1,6,0,0,Dangerous
3,6,0,0,Weak
3,8,3,0,Good
6,6,2,0,Good
3,7,6,0,Strong
6,4,1,0,Good
2,6,1,0,Good
6,5,1,0,Good
2,7,1,0,Good
1,5,0,0,Dangerous
3,3,0,0,Dangerous
2,4,0,0,Dangerous
2,5,0,0,Dangerous
2,6,1,0,Good
3,7,1,0,Good
5,5,1,0,Good
1,5,0,0,Dangerous
2,8,1,0,Good
3,6,1,0,Good
2,7,1,0,Good
2,10,1,0,Good
6,4,1,0,Good
3,10,1,0,Good
0,5,0,0,Dangerous
2,5,0,0,Dangerous
0,8,0,0,Dangerous
3,5,8,0,Strong
3,7,0,0,Weak
1,4,0,0,Dangerous
0,5,0,0,Dangerous
1,5,0,0,Dangerous
5,5,6,0,Strong
1,8,3,0,Good
2,6,2,0,Good
8,3,6,0,Strong
6,4,1,0,Good
4,7,4,0,Good
3,8,3,1,Strong
3,5,6,0,Good
4,6,1,1,Strong
1,2,13,0,Strong
7,1,1,3,Strong
2,5,1,1,Strong
2,5,0,0,Dangerous
2,7,1,1,Strong
8,1,1,1,Strong
2,5,0,0,Dangerous
6,3,1,3,Strong
6,3,3,1,Strong
10,1,2,1,Strong
2,6,0,3,Good
4,6,2,1,Strong
1,12,0,1,Strong
6,3,0,2,Good
10,3,0,1,Strong
1,5,0,0,Dangerous
1,8,0,1,Good
3,8,0,1,Strong
2,8,0,3,Strong
3,9,1,4,Strong
3,6,3,1,Strong
2,5,0,0,Dangerous
5,3,0,0,Weak
1,8,0,0,Weak
3,7,0,0,Weak
3,7,5,0,Good
4,5,0,0,Weak
3,8,0,0,Weak
10,1,0,0,Weak
4,6,2,1,Strong
3,7,2,1,Strong
4,4,2,2,Strong
1,8,3,0,Good
3,6,3,2,Strong
2,5,0,0,Dangerous
6,3,3,0,Good
2,7,2,0,Good
3,8,0,0,Weak
10,1,0,0,Weak
7,1,0,3,Good
4,17,1,0,Strong
1,10,0,2,Strong
3,7,0,0,Weak
2,5,0,0,Dangerous
2,5,0,0,Dangerous
1,6,0,0,Dangerous
6,1,0,0,Dangerous
1,6,0,0,Dangerous
3,5,0,0,Weak
2,8,0,0,Weak
2,7,7,0,Strong
3,7,0,0,Weak
2,8,6,0,Strong
4,6,0,0,Weak
8,4,0,0,Weak
3,7,0,2,Strong
2,5,0,0,Dangerous
3,6,11,0,Strong
3,7,0,1,Good
2,5,0,0,Dangerous
2,9,0,1,Strong
